created,tweet_text
Fri Oct 22 11:19:34 +0000 2021,"내가 생각했을 때 어울리는 맢크루 영화 / 영화 배우들
(제 생각일 뿐입니다.)

❤️:  크림슨 피크 - 루실 샤프
💛:  존 윅 - 존 윅
💚: 조커 - 아서 플렉/조커
💙:  토르: 라그나로크 - 토르… https://t.co/M6xpv5WFFD"
Fri Oct 22 10:58:50 +0000 2021,"시고니 위버가 리플리에 대해 얘기하는 걸 보면서 좀 감개가 무량해짐 리플리 등장 후 이어진 델마와 루이스, 킬 빌, 캣우먼, 헝겜, 매맥, 원더우먼, 캡마, 그리고 매트릭스의 트리니티, 반제의 에오윈, 토르… https://t.co/PgLiDk7vUk"
Fri Oct 22 09:44:31 +0000 2021,"RT @2020Serena: 오잉 라그나로크요? 여기서요? 지금요? 
보우가 라그나로크 광고를 하다니 신기해라 🇰🇷🇹🇭💖
#bow_maylada https://t.co/YKbbdUCtWy"
Fri Oct 22 09:27:40 +0000 2021,"업소녀
목포노래방
라그나로크
안희정
BMW7시리즈기아K7
일곱개의대죄
아프리카티비
야식그램
마이클젝슨 https://t.co/Isq7mSbWIg"
Fri Oct 22 09:16:27 +0000 2021,"오잉 라그나로크요? 여기서요? 지금요? 
보우가 라그나로크 광고를 하다니 신기해라 🇰🇷🇹🇭💖
#bow_maylada https://t.co/YKbbdUCtWy"
Fri Oct 22 09:11:28 +0000 2021,RT @llapiuyuuuuu: 라그나로크 다시 보기 시작
Fri Oct 22 09:09:26 +0000 2021,"RT @llapiuyuuuuu: 크림가지파스타랑 블루문 먹으면서 에이지 오브 개망작 울트론 보는 타래

어벤1 타래&gt;&gt;https://t.co/6NGUaLw0RE …
퍼벤&gt;&gt;https://t.co/p5iB6IigU0 …
윈솔&gt;&gt;https://t.co/…"
Fri Oct 22 09:02:07 +0000 2021,"RT @llapiuyuuuuu: 크림가지파스타랑 블루문 먹으면서 에이지 오브 개망작 울트론 보는 타래

어벤1 타래&gt;&gt;https://t.co/6NGUaLw0RE …
퍼벤&gt;&gt;https://t.co/p5iB6IigU0 …
윈솔&gt;&gt;https://t.co/…"
Fri Oct 22 09:01:21 +0000 2021,RT @llapiuyuuuuu: 라그나로크 진엔딩 https://t.co/u4PTRbq85f
Fri Oct 22 08:56:45 +0000 2021,"RT @llapiuyuuuuu: 크림가지파스타랑 블루문 먹으면서 에이지 오브 개망작 울트론 보는 타래

어벤1 타래&gt;&gt;https://t.co/6NGUaLw0RE …
퍼벤&gt;&gt;https://t.co/p5iB6IigU0 …
윈솔&gt;&gt;https://t.co/…"
Fri Oct 22 07:39:27 +0000 2021,"밷애스섹시하다고 수근딱데는 여학생들 있음
이제 쟤네가 징계받아서 단둘이 실험실에서 보낼거라고, 실험 엉망진창 만들거라 낄낄대는 교수진있음
아포칼립스다ㅏ 라그나로크다ㅏ 하는 트릴로니있음
스네이프 사진 사무실에 보관하는 후치 있음"
Fri Oct 22 07:28:06 +0000 2021,"죽음의 여신 ‘헬라’가 아스가르드를 침략하고,세상은 모든 것의 종말 ‘라그나로크’의 위기에 처한다. 헬라에게 자신의 망치마저 파괴당한 토르는 다음주 월요일 14:00까지 육군훈련소에 입소하여주시기 바랍니다.… https://t.co/jDfWh5u23Q"
Fri Oct 22 07:08:53 +0000 2021,"업소녀
목포노래방
라그나로크
안희정
BMW7시리즈기아K7
일곱개의대죄
아프리카티비
야식그램
마이클젝슨 https://t.co/8dU4OkDHhL"
Fri Oct 22 07:08:32 +0000 2021,라그나로크.
